candidate,arm,tau_0.01,tau_0.02,tau_0.03,tau_0.05,tau_0.075,tau_0.1,tau_0.125,tau_0.15,tau_0.2,tau_0.25,tau_0.3,tau_0.375,tau_0.45,tau_0.55,tau_0.65,tau_0.75,tau_0.85,tau_1
"('Mr. Stradivarius', '2012')",net,1.0,2.0,4.0,6.0,9.0,12.0,15.0,18.0,25.0,31.0,37.0,46.0,55.0,68.0,80.0,92.0,105.0,123.0
"('SarahStierch', '2012')",net,2.0,4.0,7.0,11.0,16.0,22.0,27.0,33.0,44.0,54.0,65.0,81.0,97.0,119.0,141.0,162.0,183.0,216.0
"('Scottywong', '2012')",net,1.0,2.0,3.0,3.0,5.0,7.0,10.0,12.0,17.0,22.0,26.0,34.0,40.0,49.0,58.0,68.0,73.0,85.0
"('Sergecross73', '2012')",net,1.0,2.0,3.0,5.0,7.0,10.0,12.0,15.0,20.0,22.0,27.0,33.0,40.0,50.0,60.0,70.0,79.0,94.0
"('TommyBoy', '2012')",net,1.0,3.0,4.0,4.0,6.0,7.0,11.0,13.0,18.0,23.0,27.0,33.0,38.0,47.0,57.0,61.0,69.0,77.0
"('Writ Keeper', '2012')",net,1.0,3.0,4.0,7.0,10.0,14.0,13.0,17.0,22.0,29.0,36.0,46.0,51.0,59.0,68.0,80.0,87.0,95.0
"('Yngvadottir', '2012')",net,1.0,2.0,3.0,5.0,6.0,8.0,10.0,10.0,11.0,14.0,16.0,21.0,17.0,21.0,29.0,37.0,45.0,51.0
"('Yunshui', '2012')",net,1.0,2.0,3.0,5.0,7.0,10.0,12.0,15.0,19.0,24.0,29.0,36.0,44.0,53.0,63.0,73.0,82.0,97.0
"('Zagalejo', '2012')",net,1.0,2.0,3.0,6.0,9.0,12.0,14.0,17.0,23.0,29.0,34.0,42.0,49.0,59.0,69.0,78.0,88.0,104.0
"('Î£', '2012')",net,2.0,4.0,7.0,11.0,14.0,20.0,25.0,31.0,40.0,51.0,57.0,67.0,80.0,95.0,99.0,85.0,84.0,76.0
"('Anbu121', '2012')",net,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,-1.0,1.0,-3.0
"('Apteva', '2012')",net,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-2.0,-2.0,-3.0,-5.0,-6.0,-8.0,-11.0,-13.0,-17.0,-19.0,-23.0,-25.0
"('AutomaticStrikeout', '2012')",net,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,-3.0,-4.0,-3.0,-7.0
"('Avicennasis', '2012')",net,1.0,2.0,3.0,5.0,8.0,11.0,10.0,13.0,16.0,21.0,25.0,29.0,31.0,34.0,33.0,32.0,34.0,32.0
"('Calabe1992', '2012')",net,1.0,1.0,2.0,4.0,5.0,6.0,8.0,8.0,12.0,13.0,12.0,13.0,14.0,16.0,20.0,26.0,26.0,24.0
"('Dipankan001', '2012')",net,0.0,0.0,0.0,-1.0,-2.0,-3.0,-2.0,-2.0,-1.0,-1.0,-3.0,-5.0,-4.0,-8.0,-6.0,-8.0,-10.0,-14.0
"('Faustus37', '2012')",net,-1.0,-1.0,-1.0,-1.0,-2.0,-3.0,-3.0,-4.0,-5.0,-6.0,-8.0,-10.0,-12.0,-14.0,-17.0,-20.0,-20.0,-24.0
"('Figureskatingfan', '2012')",net,1.0,1.0,0.0,2.0,3.0,5.0,7.0,9.0,11.0,10.0,12.0,10.0,13.0,14.0,17.0,12.0,7.0,2.0
"('Floydian', '2012')",net,1.0,1.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,2.0,3.0,6.0,3.0,1.0,1.0,-3.0,-4.0,-7.0
"('GabeMc', '2012')",net,-1.0,-1.0,-2.0,-4.0,-4.0,-5.0,-5.0,-7.0,-6.0,-10.0,-13.0,-19.0,-20.0,-24.0,-25.0,-27.0,-34.0,-42.0
"('Gigs', '2012')",net,1.0,1.0,2.0,4.0,5.0,7.0,6.0,4.0,6.0,7.0,3.0,4.0,4.0,6.0,5.0,9.0,9.0,6.0
"('Hahc21', '2012')",net,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-2.0,0.0,0.0,-2.0,-6.0,-9.0,-11.0,-12.0,-14.0
"('History2007', '2012')",net,1.0,1.0,2.0,3.0,5.0,7.0,8.0,10.0,12.0,13.0,17.0,20.0,19.0,16.0,19.0,18.0,16.0,10.0
"('Ktr101', '2012')",net,1.0,1.0,2.0,3.0,5.0,5.0,7.0,8.0,10.0,13.0,13.0,16.0,19.0,22.0,21.0,25.0,30.0,25.0
"('Kumioko', '2012')",net,1.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,1.0,0.0,-2.0,-2.0,-4.0,-4.0,-11.0,-14.0,-16.0,-19.0
"('Lord Roem', '2012')",net,1.0,2.0,4.0,6.0,9.0,12.0,14.0,17.0,21.0,27.0,31.0,40.0,37.0,40.0,43.0,41.0,45.0,44.0
"('LuK3', '2012')",net,1.0,1.0,2.0,3.0,4.0,6.0,8.0,9.0,12.0,15.0,16.0,16.0,14.0,10.0,9.0,9.0,11.0,6.0
"('Mabdul', '2012')",net,1.0,3.0,4.0,7.0,10.0,13.0,17.0,20.0,25.0,31.0,29.0,27.0,30.0,33.0,39.0,46.0,49.0,44.0
"('Marcus Qwertyus', '2012')",net,-1.0,-1.0,-2.0,-3.0,-5.0,-4.0,-6.0,-6.0,-6.0,-8.0,-7.0,-10.0,-12.0,-17.0,-14.0,-13.0,-13.0,-8.0
"('Master&Expert', '2012')",net,0.0,-1.0,-2.0,-3.0,-2.0,0.0,1.0,-1.0,-3.0,-5.0,-3.0,-4.0,-4.0,-5.0,-5.0,-5.0,0.0,-4.0
"('Mlpearc', '2012')",net,1.0,2.0,4.0,6.0,9.0,12.0,15.0,18.0,24.0,28.0,32.0,39.0,39.0,45.0,47.0,52.0,50.0,52.0
"('MONGO', '2012')",net,0.0,0.0,0.0,-1.0,-2.0,-3.0,-4.0,-3.0,-4.0,-4.0,-6.0,-9.0,-10.0,-12.0,-14.0,-18.0,-21.0,-27.0
"('Mr little irish', '2012')",net,1.0,1.0,1.0,0.0,-1.0,-2.0,-2.0,-3.0,-4.0,-4.0,-6.0,-8.0,-11.0,-11.0,-15.0,-16.0,-18.0,-20.0
"('My76Strat', '2012')",net,-1.0,-1.0,0.0,2.0,5.0,4.0,1.0,3.0,2.0,0.0,1.0,-3.0,-4.0,-12.0,-17.0,-19.0,-23.0,-27.0
"('Northamerica1000', '2012')",net,1.0,2.0,3.0,6.0,5.0,5.0,8.0,7.0,2.0,0.0,-5.0,-9.0,-12.0,-12.0,-10.0,-9.0,-11.0,-17.0
"('Penyulap', '2012')",net,1.0,1.0,1.0,1.0,0.0,-1.0,-2.0,-2.0,-4.0,-5.0,-6.0,-8.0,-10.0,-12.0,-15.0,-18.0,-21.0,-21.0
"('Pol430', '2012')",net,0.0,-1.0,-1.0,-1.0,1.0,3.0,5.0,7.0,9.0,13.0,15.0,19.0,17.0,19.0,20.0,18.0,16.0,14.0
"('PumpkinSky', '2012')",net,1.0,2.0,3.0,5.0,7.0,8.0,8.0,11.0,14.0,19.0,22.0,20.0,24.0,27.0,30.0,27.0,26.0,26.0
"('QuiteUnusual', '2012')",net,1.0,3.0,4.0,6.0,10.0,13.0,16.0,19.0,23.0,28.0,34.0,42.0,41.0,42.0,43.0,45.0,46.0,49.0
"('Rcsprinter123', '2012')",net,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,-3.0,-5.0,-6.0,-8.0,-10.0,-12.0,-11.0,-12.0,-14.0,-18.0
"('Ryan Vesey', '2012')",net,2.0,4.0,5.0,7.0,8.0,13.0,17.0,19.0,26.0,28.0,29.0,37.0,45.0,42.0,47.0,53.0,65.0,70.0
"('Sven Manguard', '2012')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,12.0,12.0,11.0,10.0,8.0,10.0
"('SwisterTwister', '2012')",net,1.0,2.0,3.0,6.0,8.0,11.0,12.0,15.0,20.0,24.0,24.0,24.0,27.0,29.0,28.0,30.0,33.0,33.0
"('Theopolisme', '2012')",net,1.0,1.0,2.0,0.0,-1.0,-3.0,-4.0,-4.0,-4.0,-2.0,1.0,1.0,4.0,7.0,6.0,10.0,9.0,6.0
"('Vibhijain', '2012')",net,1.0,1.0,1.0,2.0,3.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,-5.0,-10.0
"('28bytes', '2011')",net,1.0,3.0,4.0,6.0,10.0,13.0,16.0,20.0,26.0,32.0,38.0,48.0,57.0,71.0,83.0,95.0,107.0,127.0
"('5 albert square', '2011')",net,1.0,2.0,3.0,5.0,8.0,10.0,13.0,16.0,21.0,26.0,31.0,39.0,47.0,57.0,68.0,78.0,87.0,99.0
"('Acdixon', '2011')",net,1.0,2.0,3.0,5.0,7.0,9.0,12.0,14.0,19.0,23.0,27.0,33.0,39.0,48.0,50.0,59.0,66.0,77.0
"('Anomie', '2011')",net,2.0,3.0,5.0,8.0,12.0,17.0,21.0,25.0,33.0,42.0,50.0,62.0,75.0,89.0,106.0,122.0,139.0,161.0
"('Bahamut0013', '2011')",net,1.0,3.0,4.0,6.0,10.0,13.0,16.0,19.0,26.0,32.0,37.0,47.0,54.0,66.0,77.0,83.0,96.0,113.0
"('Boing! said Zebedee', '2011')",net,2.0,3.0,5.0,8.0,12.0,16.0,20.0,24.0,32.0,40.0,48.0,60.0,70.0,87.0,103.0,119.0,135.0,159.0
"('Catfish Jim and the soapdish', '2011')",net,1.0,2.0,3.0,6.0,8.0,11.0,14.0,17.0,21.0,27.0,32.0,41.0,49.0,60.0,71.0,80.0,89.0,106.0
"('CharlieEchoTango', '2011')",net,1.0,2.0,3.0,4.0,7.0,9.0,11.0,13.0,17.0,22.0,26.0,33.0,39.0,48.0,56.0,64.0,73.0,84.0
"('DeltaQuad', '2011')",net,1.0,2.0,4.0,6.0,9.0,12.0,15.0,18.0,22.0,28.0,34.0,43.0,52.0,61.0,71.0,71.0,78.0,90.0
"('Drmies', '2011')",net,2.0,4.0,6.0,10.0,16.0,21.0,26.0,31.0,42.0,52.0,62.0,78.0,93.0,112.0,133.0,151.0,170.0,201.0
"('ErikHaugen', '2011')",net,1.0,2.0,3.0,4.0,5.0,8.0,6.0,5.0,8.0,14.0,19.0,21.0,25.0,32.0,37.0,41.0,46.0,54.0
"('ErrantX', '2011')",net,1.0,2.0,3.0,5.0,7.0,9.0,11.0,14.0,18.0,22.0,26.0,33.0,39.0,45.0,54.0,63.0,71.0,83.0
"('FÃ¦', '2011')",net,2.0,3.0,5.0,8.0,12.0,15.0,19.0,23.0,31.0,38.0,46.0,58.0,69.0,84.0,91.0,98.0,98.0,104.0
"('Feezo', '2011')",net,0.0,0.0,1.0,2.0,2.0,3.0,5.0,5.0,6.0,9.0,10.0,14.0,18.0,24.0,28.0,32.0,38.0,46.0
"('Fluffernutter', '2011')",net,2.0,3.0,5.0,8.0,11.0,15.0,19.0,23.0,30.0,38.0,46.0,57.0,68.0,84.0,99.0,114.0,129.0,152.0
"('GB fan', '2011')",net,1.0,2.0,3.0,4.0,7.0,9.0,11.0,11.0,16.0,20.0,25.0,31.0,38.0,47.0,56.0,65.0,74.0,87.0
"('Gfoley4', '2011')",net,1.0,2.0,3.0,4.0,6.0,8.0,11.0,13.0,17.0,20.0,24.0,29.0,35.0,42.0,48.0,47.0,52.0,61.0
"('Gimme danger', '2011')",net,1.0,2.0,3.0,5.0,6.0,8.0,8.0,8.0,13.0,17.0,20.0,22.0,28.0,33.0,40.0,46.0,53.0,67.0
"('Gonzonoir', '2011')",net,1.0,2.0,3.0,4.0,6.0,9.0,11.0,13.0,17.0,22.0,26.0,32.0,39.0,47.0,56.0,64.0,73.0,86.0
"('Guerillero', '2011')",net,1.0,0.0,0.0,2.0,2.0,4.0,5.0,7.0,11.0,13.0,17.0,21.0,23.0,24.0,30.0,36.0,40.0,45.0
"('HJ Mitchell', '2011')",net,2.0,4.0,6.0,10.0,15.0,20.0,25.0,30.0,41.0,49.0,56.0,66.0,72.0,87.0,103.0,119.0,137.0,145.0
"('Ironholds', '2011')",net,2.0,4.0,5.0,9.0,14.0,18.0,22.0,27.0,36.0,45.0,54.0,68.0,77.0,93.0,108.0,124.0,136.0,160.0
"('JaGa', '2011')",net,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,15.0,18.0,22.0,28.0,35.0,43.0,52.0,60.0,69.0,80.0
"('January', '2011')",net,1.0,2.0,3.0,4.0,7.0,9.0,11.0,14.0,18.0,22.0,27.0,32.0,38.0,48.0,56.0,66.0,74.0,88.0
"('Jimp', '2011')",net,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,16.0,18.0,21.0,25.0,29.0,37.0,45.0,50.0,58.0,70.0
"('Ks0stm', '2011')",net,1.0,2.0,3.0,5.0,8.0,10.0,13.0,14.0,19.0,22.0,27.0,33.0,35.0,37.0,37.0,41.0,43.0,54.0
"('Kudpung', '2011')",net,1.0,3.0,4.0,6.0,9.0,13.0,16.0,17.0,24.0,29.0,33.0,40.0,50.0,55.0,57.0,59.0,66.0,85.0
"(""Lear's Fool"", '2011')",net,1.0,1.0,0.0,0.0,1.0,1.0,3.0,6.0,9.0,13.0,16.0,23.0,23.0,29.0,38.0,43.0,53.0,63.0
"('MichaelQSchmidt', '2011')",net,1.0,2.0,3.0,6.0,9.0,12.0,14.0,17.0,23.0,27.0,33.0,42.0,50.0,60.0,69.0,80.0,92.0,102.0
"('Neelix', '2011')",net,1.0,0.0,0.0,-2.0,0.0,2.0,4.0,6.0,9.0,11.0,14.0,22.0,26.0,34.0,40.0,44.0,47.0,55.0
"('Peridon', '2011')",net,1.0,1.0,2.0,3.0,5.0,7.0,8.0,10.0,14.0,17.0,19.0,21.0,26.0,32.0,39.0,46.0,51.0,61.0
"('Ponyo', '2011')",net,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,16.0,20.0,23.0,29.0,35.0,43.0,48.0,54.0,62.0,74.0
"('Qwyrxian', '2011')",net,1.0,2.0,4.0,6.0,9.0,10.0,13.0,16.0,22.0,25.0,28.0,37.0,44.0,51.0,61.0,71.0,79.0,92.0
"('Rami R', '2011')",net,1.0,2.0,3.0,4.0,6.0,7.0,7.0,7.0,10.0,10.0,12.0,16.0,17.0,25.0,32.0,38.0,46.0,54.0
"('RannphÃ¡irtÃ\xad anaithnid', '2011')",net,1.0,2.0,3.0,4.0,6.0,8.0,11.0,13.0,17.0,21.0,25.0,29.0,33.0,39.0,45.0,52.0,53.0,61.0
"('Reaper Eternal', '2011')",net,1.0,3.0,4.0,7.0,10.0,13.0,16.0,20.0,26.0,33.0,40.0,50.0,59.0,73.0,85.0,98.0,110.0,129.0
"('Redrose64', '2011')",net,1.0,2.0,3.0,5.0,8.0,10.0,12.0,14.0,16.0,21.0,26.0,34.0,37.0,45.0,52.0,59.0,69.0,83.0
"('RHM22', '2011')",net,-1.0,0.0,1.0,1.0,2.0,0.0,3.0,5.0,10.0,11.0,16.0,18.0,24.0,35.0,39.0,43.0,50.0,63.0
"('Richwales', '2011')",net,1.0,2.0,3.0,5.0,7.0,7.0,9.0,11.0,14.0,19.0,23.0,31.0,38.0,46.0,55.0,61.0,67.0,80.0
"('Sadads', '2011')",net,1.0,2.0,3.0,5.0,8.0,10.0,13.0,15.0,20.0,26.0,31.0,38.0,46.0,56.0,64.0,72.0,80.0,95.0
"('Salvio giuliano', '2011')",net,1.0,2.0,3.0,6.0,9.0,12.0,14.0,17.0,23.0,29.0,35.0,44.0,52.0,62.0,73.0,85.0,96.0,108.0
"('SarekOfVulcan', '2011')",net,2.0,5.0,7.0,8.0,10.0,16.0,22.0,24.0,30.0,32.0,36.0,39.0,49.0,62.0,71.0,75.0,78.0,101.0
"('Slon02', '2011')",net,1.0,2.0,2.0,4.0,2.0,4.0,1.0,3.0,5.0,10.0,17.0,21.0,28.0,43.0,59.0,72.0,77.0,91.0
"('Smartse', '2011')",net,1.0,3.0,4.0,6.0,10.0,13.0,16.0,20.0,26.0,32.0,39.0,49.0,58.0,72.0,83.0,97.0,109.0,129.0
"('Swarm', '2011')",net,1.0,2.0,3.0,5.0,8.0,11.0,13.0,16.0,21.0,26.0,32.0,40.0,48.0,58.0,69.0,78.0,88.0,104.0
"('The Blade of the Northern Lights', '2011')",net,1.0,3.0,4.0,7.0,10.0,13.0,17.0,20.0,27.0,33.0,40.0,50.0,60.0,73.0,86.0,100.0,113.0,133.0
"('The Bushranger', '2011')",net,1.0,2.0,3.0,5.0,8.0,11.0,13.0,16.0,21.0,26.0,32.0,38.0,41.0,45.0,48.0,57.0,65.0,74.0
"('Tom Morris', '2011')",net,1.0,2.0,3.0,5.0,7.0,9.0,9.0,12.0,17.0,22.0,27.0,34.0,40.0,50.0,60.0,70.0,80.0,95.0
"('TParis', '2011')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,10.0,11.0,14.0,18.0,22.0,28.0,33.0,36.0,39.0,44.0
"('Tyrol5', '2011')",net,1.0,1.0,2.0,3.0,5.0,6.0,8.0,10.0,13.0,16.0,20.0,24.0,29.0,36.0,42.0,49.0,55.0,65.0
"('Valfontis', '2011')",net,1.0,1.0,2.0,3.0,5.0,6.0,8.0,10.0,13.0,16.0,19.0,24.0,29.0,35.0,42.0,48.0,54.0,62.0
"('Worm That Turned', '2011')",net,1.0,3.0,4.0,6.0,9.0,12.0,15.0,18.0,24.0,31.0,37.0,45.0,53.0,65.0,78.0,90.0,101.0,118.0
"('Ancient Apparition', '2011')",net,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,-1.0,-1.0,-4.0,-4.0,-3.0,-2.0,-2.0,-4.0,-7.0
"('Armbrust', '2011')",net,0.0,0.0,0.0,-1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,-1.0,-3.0,1.0,2.0,2.0,3.0,0.0
"('Buggie111', '2011')",net,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,6.0,9.0,6.0,4.0,4.0,3.0,1.0,1.0
"('BuickCenturyDriver', '2011')",net,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,2.0,4.0,2.0,1.0,-1.0,-4.0,-7.0,-8.0,-11.0,-10.0
"('BusterD', '2011')",net,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,-2.0,-1.0,-4.0,-3.0,-5.0,-9.0,-10.0,-10.0,-11.0,-13.0,-16.0
"('Ctjf83', '2011')",net,1.0,2.0,1.0,3.0,6.0,8.0,11.0,14.0,16.0,17.0,19.0,24.0,27.0,30.0,29.0,28.0,22.0,17.0
"('Dayewalker', '2011')",net,1.0,1.0,2.0,3.0,5.0,6.0,6.0,7.0,8.0,10.0,11.0,9.0,12.0,12.0,13.0,15.0,11.0,10.0
