candidate,year,arm,tau_0.02,tau_0.05,tau_0.1,tau_0.15,tau_0.2,tau_0.3,tau_0.375,tau_0.5,tau_0.75,tau_1
Bahamut0013,2011,net,3,6,13,19,26,37,47,60,83,113
Boing! said Zebedee,2011,net,3,8,16,24,32,48,60,78,119,159
Catfish Jim and the soapdish,2011,net,2,6,11,17,21,32,41,55,80,106
CharlieEchoTango,2011,net,2,4,9,13,17,26,33,44,64,84
DeltaQuad,2011,net,2,6,12,18,22,34,43,55,71,90
Drmies,2011,net,4,10,21,31,42,62,78,102,151,201
ErikHaugen,2011,net,2,4,8,5,8,19,21,29,41,54
ErrantX,2011,net,2,5,9,14,18,26,33,43,63,83
FÃ¦,2011,net,3,8,15,23,31,46,58,76,98,104
Feezo,2011,net,0,2,3,5,6,10,14,21,32,46
Fluffernutter,2011,net,3,8,15,23,30,46,57,76,114,152
GB fan,2011,net,2,4,9,11,16,25,31,42,65,87
Gfoley4,2011,net,2,4,8,13,17,24,29,39,47,61
Gimme danger,2011,net,2,5,8,8,13,20,22,32,46,67
Gonzonoir,2011,net,2,4,9,13,17,26,32,43,64,86
Guerillero,2011,net,0,2,4,7,11,17,21,24,36,45
HJ Mitchell,2011,net,4,10,20,30,41,56,66,80,119,145
Ironholds,2011,net,4,9,18,27,36,54,68,84,124,160
JaGa,2011,net,2,4,7,11,15,22,28,39,60,80
January,2011,net,2,4,9,14,18,27,32,43,66,88
Jimp,2011,net,2,4,8,12,16,21,25,33,50,70
Ks0stm,2011,net,2,5,10,14,19,27,33,38,41,54
Kudpung,2011,net,3,6,13,17,24,33,40,53,59,85
Lear's Fool,2011,net,1,0,1,6,9,16,23,28,43,63
MichaelQSchmidt,2011,net,2,6,12,17,23,33,42,56,80,102
Neelix,2011,net,0,-2,2,6,9,14,22,31,44,55
Peridon,2011,net,1,3,7,10,14,19,21,29,46,61
Ponyo,2011,net,2,4,8,12,16,23,29,39,54,74
Qwyrxian,2011,net,2,6,10,16,22,28,37,50,71,92
Rami R,2011,net,2,4,7,7,10,12,16,21,38,54
RannphÃ¡irtÃ­ anaithnid,2011,net,2,4,8,13,17,25,29,34,52,61
Reaper Eternal,2011,net,3,7,13,20,26,40,50,66,98,129
Redrose64,2011,net,2,5,10,14,16,26,34,41,59,83
RHM22,2011,net,0,1,0,5,10,16,18,29,43,63
Richwales,2011,net,2,5,7,11,14,23,31,43,61,80
Sadads,2011,net,2,5,10,15,20,31,38,51,72,95
Salvio giuliano,2011,net,2,6,12,17,23,35,44,56,85,108
SarekOfVulcan,2011,net,5,8,16,24,30,36,39,55,75,101
Slon02,2011,net,2,4,4,3,5,17,21,36,72,91
Smartse,2011,net,3,6,13,20,26,39,49,65,97,129
Swarm,2011,net,2,5,11,16,21,32,40,53,78,104
The Blade of the Northern Lights,2011,net,3,7,13,20,27,40,50,66,100,133
The Bushranger,2011,net,2,5,11,16,21,32,38,45,57,74
Tom Morris,2011,net,2,5,9,12,17,27,34,45,70,95
TParis,2011,net,1,3,6,8,10,14,18,25,36,44
Tyrol5,2011,net,1,3,6,10,13,20,24,32,49,65
Valfontis,2011,net,1,3,6,10,13,19,24,32,48,62
Worm That Turned,2011,net,3,6,12,18,24,37,45,59,90,118
Ancient Apparition,2011,net,1,2,2,2,0,-1,-4,-4,-2,-7
Armbrust,2011,net,0,-1,1,1,1,1,-1,-1,2,0
Buggie111,2011,net,1,2,3,2,2,6,9,4,3,1
BuickCenturyDriver,2011,net,-1,0,-1,1,2,2,1,-2,-8,-10
BusterD,2011,net,1,1,0,-2,-1,-3,-5,-10,-11,-16
Ctjf83,2011,net,2,3,8,14,16,19,24,28,28,17
Dayewalker,2011,net,1,3,6,7,8,11,9,13,15,10
Dudemanfellabra,2011,net,1,0,-1,-3,-4,-3,-4,-4,-9,-10
Dylan620,2011,net,2,6,13,20,27,32,41,52,50,36
E2eamon,2011,net,1,3,5,8,10,15,19,22,22,12
Ebikeguy,2011,net,1,1,-1,-1,-3,-4,-5,-4,-8,-8
GiantSnowman,2011,net,2,6,6,7,9,10,13,13,21,39
Glane23,2011,net,2,2,4,6,7,6,8,9,19,21
Guoguo12,2011,net,1,2,4,6,8,11,14,19,23,24
Hazard-SJ,2011,net,-1,0,-1,-2,-4,-6,-6,-8,-8,-14
ItsZippy,2011,net,-1,-1,-1,0,1,-1,-1,-2,-2,-3
JÃ©skÃ© Couriano,2011,net,0,1,2,2,1,-2,-4,-3,-7,-13
Jsfouche,2011,net,0,0,0,-2,1,4,8,15,18,19
Logan,2011,net,2,5,7,12,18,28,36,45,54,48
My76Strat,2011,net,2,5,10,13,13,11,7,3,1,0
N419BH,2011,net,1,2,2,2,1,-1,-1,-2,-7,-7
N5iln,2011,net,2,2,2,4,6,9,11,12,27,25
Neutralhomer,2011,net,0,-1,-3,0,2,-2,-1,-2,9,0
NickPenguin,2011,net,0,-2,-3,-6,-4,-6,-5,2,14,21
RadioFan,2011,net,1,1,3,4,5,2,0,-1,-8,-14
Reenem,2011,net,-1,-1,-3,-4,-5,-6,-6,-9,-13,-16
Rehman,2011,net,-1,0,0,2,2,3,2,3,-5,-9
Richardcavell,2011,net,1,3,6,5,5,5,3,-2,3,2
RobertMfromLI,2011,net,1,1,3,4,2,5,2,3,2,2
Snottywong,2011,net,2,2,6,7,11,5,8,9,5,1
Staffwaterboy,2011,net,-1,-2,-3,-3,-4,-4,-6,-8,-12,-18
Steven Zhang,2011,net,4,7,12,20,27,42,54,68,80,78
Ttonyb1,2011,net,1,1,1,1,3,5,4,3,8,10
7,2010,net,2,3,8,13,17,26,34,46,70,90
Airplaneman,2010,net,4,7,11,16,16,9,22,43,87,127
AlexandrDmitri,2010,net,2,5,11,16,21,32,40,53,77,87
Amatulic,2010,net,2,4,8,12,16,25,28,38,57,78
Arsenikk,2010,net,2,5,11,16,22,33,41,54,80,106
Barek,2010,net,0,2,6,9,12,19,24,33,48,65
BigDom,2010,net,3,8,12,11,13,24,24,30,68,76
Blurpeace,2010,net,2,4,9,13,15,21,28,37,57,76
Bradjamesbrown,2010,net,2,6,11,17,22,34,42,55,83,111
Bsadowski1,2010,net,2,6,8,12,17,28,36,44,47,46
Bwilkins,2010,net,2,6,12,15,21,32,39,52,75,98
Calmer Waters,2010,net,2,3,6,10,13,22,29,38,57,79
Ceranthor,2010,net,3,7,14,21,27,41,51,68,99,129
Connormah,2010,net,0,-3,-5,-3,7,26,41,49,91,146
Dabomb87,2010,net,4,9,19,28,38,57,71,94,142,188
Dana boomer,2010,net,2,6,12,19,25,37,46,60,90,120
Diannaa,2010,net,2,5,11,15,19,28,36,46,60,80
Eagles247,2010,net,3,6,13,19,26,38,44,59,91,123
Elen of the Roads,2010,net,4,9,17,27,36,53,66,86,127,163
Elockid,2010,net,2,5,10,15,20,26,32,43,66,79
Eustress,2010,net,1,4,7,11,15,22,27,35,54,69
Everyking,2010,net,0,4,8,14,22,33,39,59,90,123
Excirial,2010,net,0,4,9,15,20,32,39,53,80,106
Fainites,2010,net,2,6,11,17,23,34,43,57,86,114
Father Goose,2010,net,1,3,3,7,10,17,17,23,36,52
Favonian,2010,net,3,7,13,20,26,38,48,63,92,125
Fetchcomms,2010,net,3,6,13,19,25,37,46,62,92,124
Floquenbeam,2010,net,3,7,14,22,27,41,49,57,66,85
GorillaWarfare,2010,net,-1,0,3,7,8,15,20,23,40,51
Grondemar,2010,net,2,5,8,12,17,25,32,43,65,84
HelloAnnyong,2010,net,2,4,9,13,18,27,33,44,67,87
HJ Mitchell,2010,net,3,7,14,21,28,39,48,61,75,93
J04n,2010,net,1,3,6,10,13,19,24,32,47,63
JamesBWatson,2010,net,2,6,11,17,23,34,43,57,82,93
Jamesofur,2010,net,2,5,11,13,19,25,31,40,59,66
Jmh649,2010,net,2,5,8,11,16,23,28,37,61,85
Joe Decker,2010,net,2,4,9,13,17,26,32,43,58,71
Jujutacular,2010,net,2,4,8,12,16,24,30,40,58,78
Kingpin13,2010,net,2,6,12,17,23,34,43,58,86,115
Kww,2010,net,3,7,15,22,30,44,55,67,97,127
Leonard^Bloom,2010,net,2,6,11,17,22,33,42,54,73,96
Leyo,2010,net,1,4,9,14,19,29,32,43,64,89
Looie496,2010,net,2,6,12,18,24,34,40,55,80,104
Magog the Ogre,2010,net,1,4,7,11,12,20,25,33,47,61
Mandsford,2010,net,2,4,8,12,16,22,27,35,39,43
MGA73,2010,net,1,3,9,14,20,30,36,43,60,82
Michig,2010,net,2,4,8,13,17,26,31,41,63,83
Mike Cline,2010,net,2,5,4,5,8,12,17,25,36,50
Mkativerata,2010,net,2,6,12,17,23,34,43,58,85,111
NativeForeigner,2010,net,2,4,8,12,14,21,27,34,46,57
Nev1,2010,net,3,9,17,26,34,52,62,74,103,128
Nikkimaria,2010,net,2,5,9,14,19,28,35,47,68,92
Olaf Davis,2010,net,2,6,12,16,20,29,36,51,75,103
Panyd,2010,net,3,0,0,-1,-2,-10,-9,11,51,90
Phantomsteve,2010,net,2,5,11,16,22,31,39,52,80,107
Polargeo,2010,net,1,4,11,17,24,36,46,62,94,122
PresN,2010,net,2,4,8,10,13,19,25,34,48,60
Rlendog,2010,net,2,5,11,16,20,31,38,50,77,100
Ron Ritzman,2010,net,3,5,11,20,28,44,56,72,89,119
Shirik,2010,net,2,5,11,14,20,30,38,51,76,99
Soap,2010,net,4,9,18,27,36,54,68,90,135,180
Sphilbrick,2010,net,3,7,11,18,24,36,42,57,76,102
Taelus,2010,net,2,4,8,11,15,23,27,37,50,64
TFOWR,2010,net,2,6,9,15,21,32,40,54,76,99
The Wordsmith,2010,net,2,6,12,18,24,36,45,60,91,116
TheCatalyst31,2010,net,2,5,9,14,14,17,17,23,38,56
Theleftorium,2010,net,2,6,12,18,24,36,45,60,90,120
Thumperward,2010,net,3,8,16,21,29,40,47,49,64,74
Tide rolls,2010,net,3,8,16,25,33,49,61,81,123,159
Tim Song,2010,net,3,5,11,17,25,38,48,62,80,100
VejvanÄickÃ½,2010,net,2,5,9,14,19,27,34,45,68,88
VernoWhitney,2010,net,3,6,14,20,26,39,51,67,106,142
Waldir,2010,net,2,4,8,12,16,22,28,37,56,75
Wifione,2010,net,2,6,12,17,23,33,39,49,65,68
WOSlinker,2010,net,2,4,9,13,18,26,33,44,62,79
28bytes,2010,net,-1,1,4,5,4,3,6,5,9,6
Access Denied,2010,net,1,2,1,1,4,2,1,-2,-9,-15
Addihockey10,2010,net,-1,-1,-3,-4,-5,-8,-11,-14,-21,-30
Aiken drum,2010,net,0,2,3,4,4,2,0,2,-7,-12
Alan16,2010,net,1,0,-1,-2,-2,-2,-3,-7,-9,-15
Alansohn,2010,net,2,3,6,10,11,9,8,2,-11,-17
ArcAngel,2010,net,-1,-2,-3,-4,-4,-6,-7,-9,-15,-18
Armbrust,2010,net,-1,-2,-4,-5,-4,-7,-7,-6,-4,-4
Blanchardb,2010,net,2,4,5,10,13,19,21,21,24,17
Cgoodwin,2010,net,2,3,3,3,6,11,9,8,9,-5
Crotalus horridus,2010,net,-1,0,-1,-1,-2,-4,-6,-10,-16,-21
DeltaQuad,2010,net,2,6,11,16,22,24,24,24,20,30
Dr Dec,2010,net,1,2,0,-2,-4,-8,-10,-10,-16,-22
Dusti,2010,net,1,2,0,-1,-3,-6,-7,-9,-18,-19
Falcon8765,2010,net,1,3,7,10,10,12,17,13,21,15
Gobbleswoggler,2010,net,-1,-1,-3,-3,-5,-6,-9,-14,-21,-27
Guoguo12,2010,net,1,2,0,-1,-1,-1,1,1,1,-1
Hadger,2010,net,1,0,-2,-1,-1,-1,-1,1,-7,-10
Herostratus,2010,net,2,1,2,4,-1,-8,-1,13,28,30
Immunize,2010,net,0,-1,-4,-5,-6,-7,-7,-11,-20,-29
Ironholds,2010,net,2,4,8,14,18,21,24,25,23,27
Jc3s5h,2010,net,1,2,6,7,11,14,19,16,13,8
Jeffrey Mall,2010,net,1,3,5,8,11,11,14,10,11,8
Jerem43,2010,net,2,4,9,11,15,20,25,24,22,22
Jmcw37,2010,net,0,-2,-3,-6,-5,-10,-9,-13,-22,-29
Kingoomieiii,2010,net,2,3,8,12,17,22,27,34,30,32
Ktr101,2010,net,1,3,4,6,5,6,5,5,-1,-7
Ling.Nut,2010,net,4,9,14,19,24,24,28,29,35,50
Marcus Qwertyus,2010,net,1,2,1,-1,-3,-6,-7,-9,-17,-23
MC10,2010,net,-2,-3,-6,-5,-9,-13,-18,-24,-29,-31
Mikael HÃ¤ggstrÃ¶m,2010,net,1,0,-1,-1,-3,-7,-4,-2,0,-2
MWOAP,2010,net,-1,-2,-3,-3,-4,-6,-6,-7,-2,-4
Mysdaao,2010,net,1,2,3,5,5,4,3,3,5,2
MZMcBride,2010,net,-4,-5,-9,-16,-22,-27,-34,-45,-56,-69
Nosleep,2010,net,1,0,2,3,1,0,1,-1,-5,-6
Osarius,2010,net,1,2,1,1,0,-5,-7,-8,-13,-18
Otherlleft,2010,net,-1,1,3,5,6,10,14,21,22,28
Rami R,2010,net,2,4,9,8,10,11,17,23,37,37
RandomStringOfCharacters,2010,net,-1,-1,-3,-4,-5,-4,-3,-2,-4,-4
Redthoreau,2010,net,1,2,2,5,6,6,7,6,1,-4
Reenem,2010,net,-1,-1,-2,-4,-5,-8,-9,-12,-17,-22
Rehman,2010,net,-1,-2,-2,-4,-5,-5,-5,-8,-13,-25
Richardcavell,2010,net,1,2,5,1,-2,-4,-6,-11,-13,-15
Richwales,2010,net,2,6,11,12,14,18,20,26,18,13
S Marshall,2010,net,1,2,4,6,7,9,12,16,23,26
Sam Blacketer,2010,net,2,2,-2,-3,-5,-13,-21,-25,-34,-49
Secret,2010,net,1,2,2,4,6,9,9,12,13,9
Silver seren,2010,net,2,1,4,6,7,4,1,3,0,-7
Skater,2010,net,1,1,0,-1,-4,-5,-9,-8,-13,-10
Slon02,2010,net,-1,-1,-3,-4,-5,-4,-4,-3,-7,-10
SMcCandlish,2010,net,1,1,1,0,-2,-5,-5,-9,-4,-3
T,2010,net,-1,-1,-3,-2,-4,-6,-5,-7,-9,-6
Terrasidius,2010,net,0,1,0,0,0,-2,-5,-8,-12,-13
The Thing That Should Not Be,2010,net,3,5,10,18,15,25,40,49,50,78
The Utahraptor,2010,net,1,0,0,-1,-4,-9,-7,-5,-16,-26
TransporterMan,2010,net,-1,0,0,0,0,-1,-2,-2,-1,-7
Unionhawk,2010,net,1,1,1,3,1,-1,-2,-5,0,0
White Shadows,2010,net,1,2,4,3,4,2,1,-4,-11,-14
Wikiwoohoo,2010,net,1,3,3,6,6,7,3,4,2,2
Wilhelmina Will,2010,net,1,0,-1,-1,-2,-4,-6,-5,-11,-18
William S. Saturn,2010,net,1,1,1,2,3,0,-2,-6,-10,-13
2over0,2009,net,2,5,9,14,19,28,35,47,70,94
Abecedare,2009,net,2,6,11,17,22,33,42,56,83,111
AdjustShift,2009,net,1,3,6,9,11,18,23,32,46,56
Admiral Norton,2009,net,2,4,6,10,15,23,27,38,58,79
Al Ameer son,2009,net,2,4,9,14,17,26,33,42,63,85
AlexiusHoratius,2009,net,1,4,7,9,13,20,26,35,54,72
Amalthea,2009,net,2,5,10,15,21,31,39,52,71,93
Amorymeltzer,2009,net,1,3,6,8,10,15,19,24,38,51
Arbitrarily0,2009,net,1,3,6,9,12,17,22,29,44,58
Atama,2009,net,2,5,10,15,20,30,37,45,60,77
Backslash Forwardslash,2009,net,2,3,14,21,22,26,31,46,88,133
Beeblebrox,2009,net,0,-2,-2,1,2,-7,-11,-6,30,46
Bellhalla,2009,net,2,6,12,18,23,35,44,58,88,116
Bettia,2009,net,2,4,8,13,17,26,32,42,63,83
Billinghurst,2009,net,2,3,8,11,16,9,14,20,42,59
Bob the Wikipedian,2009,net,2,4,7,10,14,21,27,36,53,67
BOZ,2009,net,1,3,7,10,14,21,26,33,47,60
CactusWriter,2009,net,2,5,10,14,19,29,34,46,66,90
Camw,2009,net,-1,1,2,5,7,12,12,19,37,49
Chamal N,2009,net,2,5,8,11,16,22,29,37,59,82
Ched Davis,2009,net,2,6,12,18,22,34,43,51,75,93
Climie.ca,2009,net,2,6,12,17,23,34,43,56,78,99
Closedmouth,2009,net,2,5,10,15,20,27,33,43,68,91
Cobi,2009,net,4,7,16,25,31,49,60,77,100,116
Colds7ream,2009,net,2,4,8,12,17,25,31,40,61,76
Cool3,2009,net,0,-2,-6,-8,-5,-1,3,13,32,42
CRGreathouse,2009,net,0,3,8,13,14,12,16,22,40,57
Davemeistermoab,2009,net,2,5,9,14,17,24,28,32,38,36
decltype,2009,net,2,4,8,10,12,17,21,30,48,68
Dinoguy1000,2009,net,2,4,6,11,15,24,29,39,61,81
Drilnoth,2009,net,2,4,8,12,17,25,31,40,60,79
Dumelow,2009,net,1,3,6,9,12,18,22,30,42,56
Enigmaman,2009,net,7,18,34,35,34,50,53,60,131,211
Explicit,2009,net,1,4,7,11,14,22,27,36,54,72
Fastily,2009,net,1,4,7,8,10,14,14,23,36,41
Fences and windows,2009,net,3,7,14,18,25,36,43,60,92,123
FlyingToaster,2009,net,5,10,11,19,20,29,39,59,116,133
Foxy Loxy,2009,net,2,5,10,13,18,22,28,36,52,67
Franamax,2009,net,3,5,8,12,20,30,37,45,49,65
Fribbler,2009,net,1,0,3,7,8,11,16,24,33,42
Fribbulus Xax,2009,net,1,3,6,8,11,16,21,28,41,55
Ged UK,2009,net,2,5,9,14,19,28,33,44,61,80
Geni,2009,net,2,4,4,9,12,24,33,46,66,74
Graeme Bartlett,2009,net,2,5,10,14,17,26,34,44,67,89
Hawkeye7,2009,net,2,3,6,11,15,14,17,16,31,49
Jafeluv,2009,net,2,4,8,12,17,25,31,40,60,78
Jake Wartenberg,2009,net,3,8,15,23,30,45,57,76,113,148
JamieS93,2009,net,2,6,12,18,24,33,38,51,72,99
Jarry1250,2009,net,2,4,8,12,16,24,27,37,57,75
JohnCD,2009,net,2,4,8,12,16,24,30,40,59,76
Kanonkas,2009,net,2,6,11,16,22,33,41,54,81,109
Kateshortforbob,2009,net,2,4,8,8,11,17,22,29,44,61
Killervogel5,2009,net,2,5,10,12,17,26,32,44,67,91
Killiondude,2009,net,2,5,10,15,20,30,38,50,75,100
Kotra,2009,net,2,4,8,12,14,21,20,27,43,61
Laser brain,2009,net,3,6,13,19,25,38,46,62,93,125
Law,2009,net,3,6,13,19,21,25,28,37,55,76
LinguistAtLarge,2009,net,1,4,7,11,15,21,27,34,53,71
Maedin,2009,net,2,4,8,13,17,25,32,42,63,84
Malik Shabazz,2009,net,2,6,12,18,24,35,44,59,87,113
Materialscientist,2009,net,3,7,13,19,22,33,37,48,73,101
Maunus,2009,net,2,4,8,11,16,22,26,37,49,67
Mazca,2009,net,2,4,9,14,18,22,29,40,62,80
Mentifisto,2009,net,2,5,8,11,13,20,25,31,43,51
Mfield,2009,net,2,4,9,12,15,21,27,38,59,81
Mifter,2009,net,1,4,6,10,11,13,17,24,29,44
Mikaey,2009,net,0,-3,-4,-5,-3,-6,-7,5,30,54
Mjroots,2009,net,2,5,10,15,21,31,39,52,75,93
Mlaffs,2009,net,2,4,8,10,13,21,27,36,53,70
MLauba,2009,net,1,3,6,10,11,19,24,33,51,69
MrKIA11,2009,net,1,3,6,8,11,17,19,25,34,47
Msgj,2009,net,2,5,10,15,20,30,38,49,73,98
Mufka,2009,net,1,3,6,9,12,18,23,31,44,57
MuZemike,2009,net,3,7,13,20,26,39,49,62,87,114
MZMcBride,2009,net,5,11,18,26,25,13,26,70,112,145
Nja247,2009,net,1,3,6,10,13,20,22,30,44,58
NuclearWarfare,2009,net,3,7,14,22,29,43,54,70,102,135
OlEnglish,2009,net,2,5,10,14,19,28,36,46,63,87
Orlady,2009,net,3,5,12,19,22,28,35,41,56,69
OverlordQ,2009,net,2,5,9,9,11,17,22,30,40,57
Pastor Theo,2009,net,3,7,13,20,24,36,45,57,73,85
Patar knight,2009,net,1,3,6,9,12,17,21,28,39,46
Paxse,2009,net,2,5,9,12,16,25,32,44,66,87
PeterSymonds,2009,net,4,11,22,33,43,63,75,101,139,180
Plastikspork,2009,net,1,3,6,8,7,13,17,23,35,45
R'n'B,2009,net,2,4,8,12,17,25,31,42,60,78
Rambo's Revenge,2009,net,1,4,7,11,15,22,27,32,50,68
RegentsPark,2009,net,2,3,7,11,15,23,29,34,48,63
Rjanag,2009,net,3,7,14,20,27,40,51,66,99,132
RL0919,2009,net,2,5,6,7,11,15,18,27,43,55
Ronhjones,2009,net,2,2,4,8,12,18,20,30,46,65
Rosiestep,2009,net,2,4,6,8,11,18,24,34,53,73
Runningonbrains,2009,net,1,3,6,8,9,14,17,24,33,45
S@bre,2009,net,2,4,9,13,18,27,32,43,64,82
Shubinator,2009,net,2,5,11,16,20,29,37,47,72,93
Skomorokh,2009,net,3,7,15,22,29,43,54,73,109,118
Sky Harbor,2009,net,2,4,8,13,17,26,32,42,63,84
Smith609,2009,net,0,3,7,12,15,22,19,22,38,46
Someguy1221,2009,net,1,4,7,10,14,19,24,33,49,67
Somno,2009,net,2,5,10,15,18,25,33,43,67,90
SpacemanSpiff,2009,net,2,6,12,18,25,35,44,58,82,105
Spinningspark,2009,net,1,3,7,10,13,18,23,31,47,61
